Model,MSE,MAE,R2
LSTM,950.7304077148438,20.61707878112793,0.8176653385162354
GRU,916.8777465820312,20.046144485473633,0.82415771484375
XGBoost,867.7274169921875,19.75248908996582,0.8335839509963989
